"","logFC","logCPM","LR","PValue","FDR"
"190",-2.13242820025098,-0.549757966474328,5.9056721562911,0.0150922055720817,0.311260403331581
"57580",-0.63696732996528,6.85339308389124,5.90529341200049,0.0150954509790519,0.311260403331581
"22933",-0.664268641377814,6.107697725376,5.90387660811691,0.0151075977483664,0.311260403331581
"107984859",-2.43034954791892,-0.705384192721477,5.90338716267751,0.0151117962791634,0.311260403331581
"4052",0.823920148659758,4.88375684657043,5.8987857830056,0.0151513263539779,0.311496078288519
"105372836",2.01253763754421,-0.104620850435816,5.89851167764154,0.015153684529008,0.311496078288519
"255031",-0.746474492537776,4.37871281927761,5.89625949203494,0.0151730747833894,0.311496078288519
"105376003",2.50747239722699,0.467933600785388,5.89465302721504,0.0151869212999712,0.311496078288519
"8412",0.922292423718447,2.27633160291283,5.89349796860642,0.0151968850773636,0.311496078288519
"104472519",-3.3562372370051,-0.996600359319884,5.89318517610996,0.0151995844492705,0.311496078288519
"84191",-0.604325465760324,3.49116346273013,5.89293178971142,0.0152017715138103,0.311496078288519
"102724785",2.91862266125671,-0.590558636215213,5.89127553587858,0.0152160751921953,0.311559238725149
"84669",-0.590361252025325,4.47926849395128,5.8867641093393,0.015255106955609,0.312128256906767
"10611",0.615241123853247,6.38230925551216,5.88529673784732,0.0152678245110382,0.312158429712059
"3493",2.68505565166616,-0.593505513043529,5.88312706728161,0.0152866488338404,0.312219864985961
"57475",-0.887889157813426,7.57575401141365,5.88235887212383,0.0152933195166903,0.312219864985961
"105378833",-2.08429288313523,-0.555652883496663,5.8773078016208,0.0153372556230103,0.312611444308749
"57562",0.547032691072259,5.88774890027497,5.87691841263753,0.0153406480679409,0.312611444308749
"8428",0.72530704841116,3.04280790955859,5.87627243948857,0.0153462776370547,0.312611444308749
"1305",1.2797304356063,0.54528225697333,5.87065534245301,0.0153953196813947,0.313380535889974
"3912",0.873371448480576,3.11724624463688,5.86882780520752,0.0154113104244786,0.313401646903404
"3397",0.746357955511203,4.74064654598827,5.86795743292032,0.0154189320968864,0.313401646903404
"6664",0.800372209066434,5.31603963055522,5.86432192742497,0.0154508094835357,0.313419827332064
"348793",-1.02906151057363,1.25772363249178,5.86275686149002,0.0154645534281071,0.313419827332064
"23286",0.90703363726982,5.44557856750342,5.86218205508386,0.0154696043691936,0.313419827332064
"107984685",2.66344635662442,-0.452069121790398,5.86209348502201,0.0154703828034877,0.313419827332064
"116987",-0.690033326018442,6.96885405410392,5.86128499783064,0.0154774903902953,0.313419827332064
"84978",-0.712468211982794,3.68405315343534,5.86014064599104,0.0154875563875236,0.313419827332064
"1634",0.798157201634607,5.21314135229324,5.8571566202106,0.0155138363403732,0.313722990524736
"7169",0.718545518433716,3.68281145935514,5.85337277394875,0.0155472262928234,0.314169387205417
"9638",-0.626487479602559,8.19293544754952,5.84597598096504,0.0156127121303718,0.315137163304149
"1002",0.639844152551607,4.17996847160553,5.84540052297379,0.0156178187180446,0.315137163304149
"158376",1.7493378364217,1.09993256962422,5.84330215926361,0.0156364540843607,0.315284057844789
"619455",-2.33286502853449,-0.778705341225673,5.83448338115903,0.0157150236367907,0.316638339096876
"105374308",2.59161461850407,-0.938379910868942,5.83147222838094,0.0157419441116812,0.316950745656872
"54875",0.562336092222647,5.41959825967923,5.82979512012513,0.0157569584876699,0.317023153920402
